Ticker|Name|CIK|SIC
CCK|Crown Holdings|0001219601|3411
CSX|CSX|0000277948|4011
CUBE|CubeSmart|0001298675|6798
CFR|Frost Bank|0000039263|6021
CMI|Cummins|0000026172|3510
CW|Curtiss-Wright|0000026324|3590
CVS|CVS Health|0000064803|5912
CY|Cypress Semiconductor|0000791915|3674
CONE|CyrusOne|0001553023|6798
DHI|D. R. Horton|0000882184|1531
DHR|Danaher Corporation|0000313616|3823
DRI|Darden Restaurants|0000940944|5812
DVA|DaVita Inc.|0000927066|8090
SITC|SITE Centers|0000894315|6798
DE|John Deere|0000315189|3523
DELL|Dell Technologies|0001571996|3571
DAL|Delta Air Lines|0000027904|4512
XRAY|Dentsply Sirona|0000818479|3843
DVN|Devon Energy|0001090012|1311
DXCM|Dexcom|0001093557|3841
FANG|Diamondback Energy|0001539838|1311
DKS|Dick's Sporting Goods|0001089063|5940
DLR|Digital Realty Trust|0001297996|6798
DFS|Discover Financial|0001393612|6141
DISCA|Discovery, Inc. Series A|0001437107|4841
DISCK|Discovery, Inc. Series C|0001437107|4841
DISH|Dish Network|0001001082|4841
DIS|The Walt Disney Company|0001744489|7990
DOCU|DocuSign|0001261333|7372
DLB|Dolby Laboratories|0001308547|6794
DG|Dollar General|0000029534|5331
DLTR|Dollar Tree|0000935703|5331
D|Dominion Energy|0000715957|4911
DPZ|Domino's Pizza|0001286681|5140
CLR|Continental Resources|0000732834|1311
COO|The Cooper Companies|0000711404|3851
DEI|Douglas Emmett|0001364250|6798
DOV|Dover Corporation|0000029905|3530
DD|DuPont|0001666700|2821
DTE|DTE Energy|0000936340|4911
DUK|Duke Energy|0001326160|4931
DRE|Duke Realty|0000783280|6798
DNB|Dun & Bradstreet|0001115222|7320
DNKN|Dunkin' Brands|0001357204|5810
DXC|DXC Technology|0001688568|7374
ETFC|E-Trade|0001015780|6035
EXP|Eagle Materials|0000918646|3241
EWBC|East West Bancorp|0001069157|6022
EMN|Eastman Chemical|0000915389|2821
ETN|Eaton Corporation|0001551182|3590
EV|Eaton Vance|0000350797|6282
EBAY|eBay|0001065088|7389
SATS|EchoStar|0001415404|3663
ECL|Ecolab|0000031462|2840
EIX|Edison International|0000827052|4911
EW|Edwards Lifesciences|0001099800|3842
EA|Electronic Arts|0000712515|7372
EMR|Emerson Electric|0000032604|3600
ESRT|Empire State Realty|0001541401|6798
EHC|Encompass Health|0000785161|8060
EGN|Energen|0000277595|1311
ENR|Energizer Holdings|0001632790|3690
ETR|Entergy|0000065984|4911
EVHC|Envision Healthcare|0001678531|8011
EOG|EOG Resources|0000821189|1311
EPAM|EPAM Systems|0001352010|7371
EPR|EPR Properties|0001045450|6798
EQT|EQT Corporation|0000033213|1311
EFX|Equifax|0000033185|7320
EQIX|Equinix|0001101239|6798
EQC|Equity Commonwealth|0000803649|6798
ELS|Equity Lifestyle Properties|0000895417|6798
EQR|Equity Residential|0000906107|6798
ERIE|Erie Indemnity|0000922621|6411
ESS|Essex Property Trust|0000920522|6798
EL|Estee Lauder Companies|0001001250|2844
EEFT|Euronet Worldwide|0001029199|6099
EVR|Evercore|0001360901|6282
RE|Everest Re|0001095073|6331
EVRG|Evergy|0001711269|4931
ES|Eversource Energy|0000072741|4911
UFS|Domtar Corporation|0001381531|2621
DCI|Donaldson Company|0000029644|3564
EXPE|Expedia Group|0001324424|4700
EXPD|Expeditors International|0000746515|4731
STAY|Extended Stay America|0001581164|7011
EXR|Extra Space Storage|0001289490|6798
XOG|Extraction Oil & Gas|0001655020|1311
XOM|ExxonMobil|0000034088|2911
FFIV|F5 Networks|0001048695|3576
FB|Facebook|0001326801|7370
FDS|FactSet|0001013237|7370
FICO|Fair Isaac|0000814547|7389
FAST|Fastenal|0000815556|5200
FRT|Federal Realty Investment Trust|0000034903|6798
FDX|FedEx|0001048911|4513
FIS|FIS|0001136893|7389
FITB|Fifth Third Bancorp|0000035527|6022
FEYE|FireEye|0001370880|3577
FAF|First American Corporation|0001472787|6361
FCNCA|First Citizens BancShares|0000798941|6022
FDC|First Data Corporation|0000883980|7389
FHB|First Hawaiian Bank|0000036377|6022
FHN|First Horizon National Corporation|0000036966|6021
FRC|First Republic Bank|0001132979|
FSLR|First Solar|0001274494|3674
FE|FirstEnergy|0001031296|4911
FISV|Fiserv|0000798354|7374
FLT|Fleetcor|0001175454|7389
FLIR|Flir Systems|0000354908|3812
FND|Floor & Decor|0001507079|5211
FLO|Flowers Foods|0001128928|2000
FLS|Flowserve|0000030625|3561
FLR|Fluor Corporation|0001124198|1600
FMC|FMC Corporation|0000037785|2800
FNB|FNB Corporation|0000037808|6021
FNF|Fidelity National Financial|0001331875|6361
FL|Foot Locker|0000850209|5661
F|Ford Motor|0000037996|3711
FTNT|Fortinet|0001262039|3577
FTV|Fortive Corporation|0001659166|3823
FBHS|Fortune Brands Home & Security|0001519751|1520
FOXA|Fox Corporation Class A|0001754301|4833
FOX|Fox Corporation Class B|0001754301|4833
BEN|Franklin Resources|0000038777|6282
FCX|Freeport-McMoRan|0000831259|1000
AJG|Arthur J. Gallagher & Co.|0000354190|6411
GLPI|Gaming and Leisure Properties|0001575965|6798
GPS|Gap Inc.|0000039911|5651
EXAS|Exact Sciences|0001124140|8731
EXEL|Exelixis|0000939767|8731
EXC|Exelon|0001109357|4931
GTES|Gates Corporation|0001718512|3560
GLIBA|GCI Liberty|0000808461|4813
GD|General Dynamics|0000040533|3730
GE|General Electric|0000040545|3600
GIS|General Mills|0000040704|2040
GM|General Motors|0001467858|3711
GWR|Genesee & Wyoming|0001012620|4011
G|Genpact|0001398659|8742
GNTX|Gentex|0000355811|3714
GPC|Genuine Parts|0000040987|5013
GILD|Gilead Sciences|0000882095|2836
GPN|Global Payments|0001123360|7389
GDDY|GoDaddy|0001609711|7373
GS|Goldman Sachs|0000886982|6211
GT|Goodyear Tire & Rubber|0000042582|3011
GRA|W. R. Grace and Company|0001045309|2800
GGG|Graco|0000042888|3561
EAF|GrafTech|0000931148|3620
GHC|Graham Holdings Company|0000104889|8200
GWW|W. W. Grainger|0000277135|5000
LOPE|Grand Canyon Education|0001434588|8200
GPK|Graphic Packaging|0001408075|2650
GRUB|Grubhub|0001594109|7389
GWRE|Guidewire Software|0001528396|7372
HAIN|Hain Celestial|0000910406|2000
HAL|Halliburton|0000045012|1389
HBI|Hanesbrands|0001359841|5600
THG|Hanover Insurance|0000944695|6331
HOG|Harley Davidson|0000793952|3751
HIG|The Hartford|0000874766|6331
HAS|Hasbro|0000046080|3944
HE|Hawaiian Electric Industries|0000354707|4911
HCA|HCA Healthcare|0000860730|8062
HDS|HD Supply|0001573097|5000
HTA|Healthcare Trust America|0001360604|6798
HEIA|HEICO Class A|0000046619|3724
HEI|HEICO Common|0000046619|3724
