WRB|W. R. Berkley Corporation|1O-k|18|20180223|data/SEC/10-k/WRB/sec_10k_18.txt
BRKB|Berkshire Hathaway|1O-k|18|20180226|data/SEC/10-k/BRKB/sec_10k_18.txt
BERY|Berry Global|1O-k|18|20181116|data/SEC/10-k/BERY/sec_10k_18.txt
BBY|Best Buy|1O-k|18|20180402|data/SEC/10-k/BBY/sec_10k_18.txt
BGCP|BGC Partners|1O-k|18|20180222|data/SEC/10-k/BGCP/sec_10k_18.txt
BIIB|Biogen|1O-k|18|20180201|data/SEC/10-k/BIIB/sec_10k_18.txt
BMRN|BioMarin Pharmaceutical|1O-k|18|20180226|data/SEC/10-k/BMRN/sec_10k_18.txt
BIO|Bio-Rad Laboratories|1O-k|18|20180426|data/SEC/10-k/BIO/sec_10k_18.txt
BKI|Black Knight|1O-k|18|20180426|data/SEC/10-k/BKI/sec_10k_18.txt
BLK|BlackRock|1O-k|18|20180228|data/SEC/10-k/BLK/sec_10k_18.txt
HRB|H&R Block|1O-k|18|20180615|data/SEC/10-k/HRB/sec_10k_18.txt
BLUE|Bluebird Bio|1O-k|18|20180221|data/SEC/10-k/BLUE/sec_10k_18.txt
BOKF|BOK Financial Corporation|1O-k|18|20180227|data/SEC/10-k/BOKF/sec_10k_18.txt
BKNG|Booking Holdings|1O-k|18|20180227|data/SEC/10-k/BKNG/sec_10k_18.txt
BAH|Booz Allen Hamilton|1O-k|18|20180529|data/SEC/10-k/BAH/sec_10k_18.txt
BWA|BorgWarner|1O-k|18|20180928|data/SEC/10-k/BWA/sec_10k_18.txt
BSX|Boston Scientific|1O-k|18|20180220|data/SEC/10-k/BSX/sec_10k_18.txt
BDN|Brandywine Realty Trust|1O-k|18|20180223|data/SEC/10-k/BDN/sec_10k_18.txt
BFAM|Bright Horizons Family Solutions|1O-k|18|20180228|data/SEC/10-k/BFAM/sec_10k_18.txt
BHF|Brighthouse Financial|1O-k|18|20180316|data/SEC/10-k/BHF/sec_10k_18.txt
BMY|Bristol-Myers Squibb|1O-k|18|20180213|data/SEC/10-k/BMY/sec_10k_18.txt
BRX|Brixmor Property Group|1O-k|18|20180212|data/SEC/10-k/BRX/sec_10k_18.txt
AVGO|Broadcom Corporation|1O-k|18|20181221|data/SEC/10-k/AVGO/sec_10k_18.txt
BR|Broadridge Financial Solutions|1O-k|18|20180807|data/SEC/10-k/BR/sec_10k_18.txt
BPR|Brookfield Properties Retail Group|1O-k|18|20180222|data/SEC/10-k/BPR/sec_10k_18.txt
BRO|Brown & Brown|1O-k|18|20180228|data/SEC/10-k/BRO/sec_10k_18.txt
BFA|Brown–Forman Class A|1O-k|18|20180613|data/SEC/10-k/BFA/sec_10k_18.txt
BFB|Brown–Forman Class B|1O-k|18|20180613|data/SEC/10-k/BFB/sec_10k_18.txt
BRKR|Bruker|1O-k|18|20180316|data/SEC/10-k/BRKR/sec_10k_18.txt
BC|Brunswick|1O-k|18|20180220|data/SEC/10-k/BC/sec_10k_18.txt
BG|Bunge Limited|1O-k|18|20180223|data/SEC/10-k/BG/sec_10k_18.txt
BURL|Burlington Stores|1O-k|18|20180320|data/SEC/10-k/BURL/sec_10k_18.txt
BWXT|BWX Technologies|1O-k|18|20180227|data/SEC/10-k/BWXT/sec_10k_18.txt
CHRW|C. H. Robinson|1O-k|18|20180228|data/SEC/10-k/CHRW/sec_10k_18.txt
CABO|Cable One|1O-k|18|20180301|data/SEC/10-k/CABO/sec_10k_18.txt
CBT|Cabot Corporation|1O-k|18|20181121|data/SEC/10-k/CBT/sec_10k_18.txt
COG|Cabot Oil & Gas|1O-k|18|20180302|data/SEC/10-k/COG/sec_10k_18.txt
CACI|CACI|1O-k|18|20180820|data/SEC/10-k/CACI/sec_10k_18.txt
CDNS|Cadence Design Systems|1O-k|18|20180220|data/SEC/10-k/CDNS/sec_10k_18.txt
CPT|Camden Property Trust|1O-k|18|20180216|data/SEC/10-k/CPT/sec_10k_18.txt
CPB|Campbell Soup|1O-k|18|20180927|data/SEC/10-k/CPB/sec_10k_18.txt
CMD|Cantel Medical Corporation|1O-k|18|20180927|data/SEC/10-k/CMD/sec_10k_18.txt
COF|Capital One Financial|1O-k|18|20180221|data/SEC/10-k/COF/sec_10k_18.txt
CAH|Cardinal Health|1O-k|18|20180822|data/SEC/10-k/CAH/sec_10k_18.txt
CSL|Carlisle Companies|1O-k|18|20180216|data/SEC/10-k/CSL/sec_10k_18.txt
KMX|CarMax|1O-k|18|20180424|data/SEC/10-k/KMX/sec_10k_18.txt
CRI|Carter's|1O-k|18|20180227|data/SEC/10-k/CRI/sec_10k_18.txt
CASY|Casey's General Stores|1O-k|18|20180629|data/SEC/10-k/CASY/sec_10k_18.txt
CTLT|Catalent|1O-k|18|20180828|data/SEC/10-k/CTLT/sec_10k_18.txt
CAT|Caterpillar|1O-k|18|20180215|data/SEC/10-k/CAT/sec_10k_18.txt
CBOE|Cboe Global Markets|1O-k|18|20180222|data/SEC/10-k/CBOE/sec_10k_18.txt
CBRE|CBRE Group|1O-k|18|20180301|data/SEC/10-k/CBRE/sec_10k_18.txt
